Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
Joaquín Reyes,,9/8/2017,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",José Miguel Contreras,78 min,Stand-Up Comedy,TV-MA,2017,80169755,Joaquín Reyes: Una y no más,Movie
"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States",9/8/2017,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",Daniel Alfredson,95 min,"Action & Adventure, Dramas, International Movies",R,2015,70299204,Kidnapping Mr. Heineken,Movie
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,9/8/2017,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",,58 min,Children & Family Movies,TV-Y7,2009,80182480,Krish Trish and Baltiboy,Movie
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",,9/8/2017,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.","Munjal Shroff, Tilak Shetty",62 min,Children & Family Movies,TV-Y7,2013,80182483,Krish Trish and Baltiboy: Battle of Wits,Movie
"Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra",,9/8/2017,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.","Munjal Shroff, Tilak Shetty",65 min,Children & Family Movies,TV-Y,2016,80182596,Krish Trish and Baltiboy: Best Friends Forever,Movie
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,9/8/2017,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",Tilak Shetty,61 min,Children & Family Movies,TV-Y7,2012,80182482,Krish Trish and Baltiboy: Comics of India,Movie
"Rishi Gambhir, Smita Malhotra, Deepak Chachra",,9/8/2017,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",Tilak Shetty,65 min,Children & Family Movies,TV-Y7,2017,80182597,Krish Trish and Baltiboy: Oversmartness Never Pays,Movie
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,9/8/2017,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",,58 min,Children & Family Movies,TV-Y7,2010,80182481,Krish Trish and Baltiboy: Part II,Movie
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,9/8/2017,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.","Munjal Shroff, Tilak Shetty",60 min,Children & Family Movies,TV-Y7,2013,80182621,Krish Trish and Baltiboy: The Greatest Trick,Movie
"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy","France, Belgium",9/8/2017,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,Gaspar Noé,135 min,"Cult Movies, Dramas, Independent Movies",NR,2015,80057969,Love,Movie
"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,9/8/2017,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,Tom O'Brien,98 min,"Comedies, Independent Movies, Romantic Movies",TV-14,2014,80060297,Manhattan Romance,Movie
"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte","France, Belgium",9/8/2017,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",Antoine Bardou-Jacquet,96 min,"Action & Adventure, Comedies, International Movies",R,2015,80046728,Moonwalkers,Movie
,"United States, Uruguay",9/8/2017,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",Mitch Dickman,79 min,Documentaries,TV-MA,2015,80046727,Rolling Papers,Movie
"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley",United States,9/8/2017,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",Brad Anderson,113 min,"Horror Movies, Thrillers",PG-13,2014,70304988,Stonehearst Asylum,Movie
"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",United States,9/8/2017,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,Austin Stark,90 min,"Dramas, Independent Movies",R,2015,80057700,The Runner,Movie
"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,9/8/2015,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",Hannah Fidell,80 min,"Dramas, Independent Movies, Romantic Movies",NR,2015,80045922,6 Years,Movie
"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",,9/7/2018,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,2015,80244601,Castle of Stars,TV Show
,"United States,",9/7/2018,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",Madeleine Gavin,77 min,Documentaries,TV-MA,2018,80203094,City of Joy,Movie
,,9/7/2018,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,,1 Season,Docuseries,TV-MA,2018,80190843,First and Last,TV Show
"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,9/7/2018,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",Sopon Sukdapisit,112 min,"Horror Movies, International Movies",TV-MA,2011,70241607,Laddaland,Movie
"John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States",9/7/2018,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.","Kevin R. Adams, Joe Ksander",106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",TV-PG,2018,80988892,Next Gen,Movie
"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",United States,9/7/2018,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,Ian Samuels,106 min,"Comedies, Romantic Movies",PG-13,2018,80239639,Sierra Burgess Is A Loser,Movie
"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States",9/7/2018,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",Franck Ribière,102 min,"Dramas, International Movies, Thrillers",TV-MA,2018,80159586,The Most Assassinated Woman in the World,Movie
"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker","Belgium, France",9/7/2017,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",Daniele Thompson,114 min,"Dramas, Independent Movies, International Movies",R,2016,80152447,Cézanne et moi,Movie
"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren",,9/6/2019,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",,1 Season,"Kids' TV, TV Comedies",TV-Y7,2019,80221550,Archibald's Next Big Thing,TV Show
"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,9/6/2019,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,Anubhav Sinha,125 min,"Dramas, International Movies, Thrillers",TV-MA,2019,81154455,Article 15,Movie
"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",,9/6/2019,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",Maha Venkatesh,142 min,"Comedies, Dramas, Independent Movies",TV-14,2018,81113928,Care of Kancharapalem,Movie
"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",India,9/6/2019,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",Tharun Bhascker,133 min,"Comedies, International Movies",TV-14,2018,81052275,Ee Nagaraniki Emaindi,Movie
"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu",,9/6/2019,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",Şenol Sönmez,100 min,"Comedies, International Movies, Romantic Movies",TV-14,2019,81132437,Kill Me If You Dare,Movie
"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",France,9/6/2019,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",,1 Season,"International TV Shows, TV Dramas, TV Thrillers",TV-MA,2019,80178151,The Spy,TV Show
"Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford",United States,9/6/2018,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.","Tom Gianas, Ross R. Shuman",86 min,"Action & Adventure, Comedies, Independent Movies",R,2015,80058026,Hell and Back,Movie
"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,9/6/2018,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,Rajkumar Hirani,146 min,"Comedies, Dramas, International Movies",TV-14,2014,70303496,PK,Movie
"Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills",United Kingdom,9/6/2017,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,"Robert Osman, Nathanael Wiseman",79 min,"Dramas, Independent Movies",TV-MA,2015,80162141,Hard Tide,Movie
"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose",United Kingdom,9/6/2016,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",Jon Spira,102 min,Documentaries,TV-PG,2015,80095641,Elstree 1976,Movie
"President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar",,9/5/2019,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,,10 min,Documentaries,TV-G,2019,81176188,American Factory: A Conversation with the Obamas,Movie
"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada",9/5/2018,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",Mez Tharatorn,122 min,"Comedies, International Movies, Romantic Movies",TV-14,2012,80159880,ATM,Movie
"Theeradej Wongpuapan, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru, Taksaorn Paksukcharern, Charlie Trairat, Kazuki Yano",Thailand,9/5/2018,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",Adisorn Tresirikasem,126 min,"Comedies, International Movies, Romantic Movies",TV-14,2009,81016044,Bangkok Traffic (Love) Story,Movie
"Preechaya Pongthananikorn, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat, Popetorn Soonthornyanakij",Thailand,9/5/2018,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",Mez Tharatorn,116 min,"Comedies, International Movies, Romantic Movies",TV-14,2014,80158838,I Fine... Thank You... Love You,Movie
"Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura",Thailand,9/5/2018,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",Banjong Pisanthanakun,135 min,"Dramas, International Movies, Romantic Movies",TV-PG,2016,81016045,One Day,Movie
"Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong",Thailand,9/5/2018,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.","Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks",125 min,"Horror Movies, International Movies",TV-MA,2009,70142798,Phobia 2,Movie
"Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr",Thailand,9/5/2018,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.","Banjong Pisanthanakun, Parkpoom Wongpoom",96 min,"Horror Movies, International Movies",TV-MA,2004,70062814,Shutter,Movie
"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,9/5/2018,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",Chayanop Boonprakob,130 min,"Comedies, International Movies",TV-MA,2011,80158839,Suckseed,Movie
"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",United States,9/5/2017,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",Susan Johnson,98 min,"Comedies, Dramas",TV-14,2016,80147760,Carrie Pilby,Movie
Marc Maron,United States,9/5/2017,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",Lynn Shelton,70 min,Stand-Up Comedy,TV-MA,2017,80177405,Marc Maron: Too Real,Movie
"Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz",United States,9/5/2017,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",TV-14,2016,80113482,No Tomorrow,TV Show
"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",Pakistan,9/4/2019,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",Farhan Alam,128 min,"Dramas, Independent Movies, International Movies",TV-14,2016,81160036,Saawan,Movie
"Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond",Canada,9/4/2019,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,Chad Archibald,88 min,Horror Movies,TV-MA,2017,81173255,The Heretics,Movie
"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",United States,9/4/2019,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",Brian Baugh,108 min,"Dramas, Romantic Movies",PG,2019,81078908,The World We Make,Movie
"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth",India,9/4/2019,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",A. L. Vijay,93 min,"Comedies, Dramas, International Movies",TV-14,2019,81155784,Watchman,Movie
"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",United States,9/4/2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",Ryan Coogler,135 min,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2018,80201906,Black Panther,Movie
"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge","United Kingdom, France",9/4/2018,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",Ben Palmer,88 min,"Comedies, International Movies, Romantic Movies",R,2015,80052612,Man Up,Movie
"Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar",United States,9/4/2017,"A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",TV-14,2016,80113641,Frequency,TV Show
Mo Gilligan,United Kingdom,9/30/2019,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",Chris Howe,64 min,Stand-Up Comedy,TV-MA,2019,81054495,Mo Gilligan: Momentum,Movie
"Adam Conover, Adam Lustick, Emily Axford",United States,9/30/2018,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",,1 Season,TV Comedies,TV-14,2018,80996949,Adam Ruins Everything,TV Show
"Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara",United States,9/30/2018,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,,1 Season,Kids' TV,TV-Y7,2016,80239337,Ben 10,TV Show
"Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw, Ted Danson, Stephen Root, Rob Riggle, Michael Gaston","United States, United Kingdom",9/30/2018,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",Ken Kwapis,107 min,"Children & Family Movies, Dramas",PG,2012,70212504,Big Miracle,Movie
,United States,9/30/2018,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",,1 Season,Docuseries,TV-MA,2018,81011682,Christiane Amanpour: Sex & Love Around the World,TV Show
,United States,9/30/2018,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",,1 Season,Docuseries,TV-PG,2016,80128317,The Eighties,TV Show
,United States,9/30/2018,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,,1 Season,Docuseries,TV-14,2017,81027384,The Nineties,TV Show
,United States,9/30/2018,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",,1 Season,Docuseries,TV-PG,2015,80030186,The Seventies,TV Show
"Eric Edelstein, Demetri Martin, Bobby Moynihan",United States,9/30/2018,"Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",,1 Season,"Kids' TV, TV Comedies",TV-Y7,2017,80116921,We Bare Bears,TV Show
"Min-sik Choi, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Mi-ran Ra, Hye-young Ryu, Ki Hong Lee, Sun-gyu Jin, Joo-yeon Lee, Byeong-eun Park",South Korea,9/30/2017,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",Park In-je,130 min,"Dramas, International Movies",TV-MA,2017,80187061,The Mayor,Movie
,United Kingdom,9/30/2017,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",,1 Season,"British TV Shows, Docuseries, International TV Shows",TV-14,2017,80181555,The Royal House of Windsor,TV Show
,"Denmark, United States",9/30/2016,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,"Rod Blackhurst, Brian McGinn",92 min,Documentaries,TV-MA,2016,80081155,Amanda Knox,Movie
"Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin",,9/3/2018,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,2014,80184358,Lovesick,TV Show
"Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd","United Kingdom, United States",9/3/2018,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",Jesse V. Johnson,96 min,Action & Adventure,TV-MA,2018,80198585,The Debt Collector,Movie
"Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh","Turkey, United States",9/29/2018,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",Mahsun Kırmızıgül,112 min,"Action & Adventure, International Movies",NR,2010,70233894,Act of Vengeance,Movie
"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brazil,9/29/2018,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",Monique Gardenberg,111 min,"Dramas, Independent Movies, International Movies",TV-MA,2018,81011955,Paradise Lost,Movie
"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia",United States,9/29/2017,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",Mike Flanagan,103 min,"Horror Movies, Thrillers",TV-MA,2017,80128722,Gerald's Game,Movie
,United States,9/29/2017,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",Jacob LaMendola,40 min,Documentaries,TV-14,2017,80182115,Long Shot,Movie
